UTM180920201,UTM180920202
560633.747753829,8760372.91724728
560633.973152186,8760372.92815183
560634.222185142,8760372.85080541
560634.495338454,8760372.89754331
560634.48737702,8760372.5284061
560634.7149221,8760372.53941463
560635.035819657,8760372.66668264
560635.037448453,8760372.58854131
560635.201122573,8760372.62998278
560635.314366509,8760372.60193862
560635.535439325,8760372.74672583
560635.744160767,8760372.92443844
560636.017303239,8760373.01587338
560636.285052062,8760373.21879048
560636.638710033,8760373.24707515
560636.827604461,8760373.30091133
560637.083551934,8760373.48090904
560637.414599568,8760373.79863196
560637.757448177,8760374.13927454
560638.039683645,8760374.35406724
560638.340192703,8760374.45800108
560638.621932146,8760374.50515533
560638.706741081,8760374.44221279
560638.894006207,8760374.57419062
560639.024401466,8760374.63637108
560639.310445052,8760374.63903651
560639.688255116,8760374.65731632
560639.813806717,8760374.77513404
560640.030089689,8760374.75207574
560640.143377311,8760374.54524522
560640.298464443,8760374.5862719
560640.445493425,8760374.66043163
560640.77068321,8760374.78790884
560641.043813984,8760374.92404157
560641.505376175,8760374.81228257
560641.847771998,8760374.80650089
560642.176748528,8760374.8112443
560642.425770691,8760374.77859621
560642.518593926,8760374.86130771
560642.642538025,8760374.96787365
560642.853415804,8760375.10099461
560643.132457868,8760375.20389092
560643.218312707,8760375.25274237
560643.500018668,8760375.43398781
560643.589616283,8760375.53889194
560643.702309696,8760375.56669344
560643.901419465,8760375.54280485
560643.863241756,8760375.84266388
560644.061250465,8760375.93046512
560644.224395555,8760375.93835928
560644.432609113,8760375.99313145
560644.594653124,8760376.11271546
560644.761540938,8760376.17666234
560644.742738356,8760376.25397269
560644.919280492,8760376.34073535
560645.015857297,8760376.43480299
560645.156434747,8760376.55334836
560645.346340486,8760376.85306961
560645.461719835,8760376.86982694
560645.535784632,8760376.8510622
560645.711798325,8760376.90427648
560645.835730806,8760377.05553944
560646.015475992,8760377.20950312
560646.195209974,8760377.40816353
560646.256383729,8760377.43347229
560646.424327857,8760377.56451637
560646.622853227,8760377.73056322
560646.743571139,8760377.8593221
560646.901849673,8760378.01224716
560647.146533311,8760378.15817905
560647.557002931,8760378.47974806
560647.77322938,8760378.68017459
560647.831121354,8760378.95115946
560648.115500698,8760379.16605831
560648.234577423,8760379.41765535
560648.543086594,8760379.71194215
560648.659488318,8760379.92988687
560648.825285213,8760380.06082739
560649.161239829,8760380.05473607
560649.279799328,8760380.22808802
560649.330183285,8760380.47636103
560649.325294117,8760380.71078498
560649.437941804,8760380.9173738
560649.558659104,8760381.04613295
560649.439503809,8760381.10741268
560649.374037021,8760381.081896
560649.339173916,8760381.00198874
560649.310211239,8760380.93354132
560649.286620792,8760380.84300525
560649.240485005,8760380.77372679
560649.323091063,8760380.9341646
560649.416418995,8760381.1398185
560649.573629098,8760381.27034361
560649.756059322,8760381.4132635
560649.955628671,8760381.69110456
560650.206705861,8760382.0161355
560650.443835454,8760382.3181429
560650.661679227,8760382.48512532
560650.836624284,8760382.51594004
560650.89458342,8760382.51874485
560650.982033248,8760382.62354562
560651.030843643,8760382.72647652
560651.035653707,8760382.80492948
560651.100546814,8760382.97568454
560651.175656287,8760383.06871383
560651.293709779,8760383.11912407
560651.385430066,8760383.31352604
560651.752436084,8760383.59947026
560651.706175385,8760384.02185541
560651.723291542,8760384.24616998
560651.73503542,8760384.49257318
560651.694181142,8760384.75877959
560651.828305716,8760384.92171076
560651.89213096,8760385.07006558
560652.03216725,8760385.19975992
560652.117378961,8760385.66203048
560652.246176717,8760385.66826354
560652.301449568,8760385.68211274
560652.306776219,8760385.8388109
560652.187609805,8760385.94478707
560652.104947496,8760386.00783257
560652.049617666,8760386.21746688
560652.072668271,8760386.3191512
560652.069431228,8760386.38604043
560651.996928392,8760386.59484367
560651.967863435,8760386.92866648
560652.012908404,8760387.06493814
560652.033227247,8760387.35645358
560652.026168043,8760387.68016703
560652.126979606,8760387.99792647
560652.032482474,8760388.17214237
560651.843522483,8760388.38648409
560651.833822776,8760388.54245506
560651.937894144,8760388.70393187
560651.887948079,8760388.84678084
560651.829404127,8760389.03391098
560651.870706675,8760389.11412997
560651.920584305,8760389.23946119
560651.920561496,8760389.32885459
560651.906522906,8760389.66340459
560651.910736306,8760389.97648925
560651.963828118,8760390.12432465
560651.949800916,8760390.41417794
560651.918634978,8760390.56911007
560651.89715736,8760390.61276793
560651.866530938,8760390.75655186
560651.952866798,8760391.01773921
560651.997888748,8760391.24340427
560651.968880848,8760391.35374358
560651.983322016,8760391.54440577
560651.971498489,8760391.61087945
560652.10831976,8760391.71806964
560652.093764417,8760391.97437444
560652.022891753,8760392.10503636
560652.00410028,8760392.1376499
560651.996547154,8760392.29372475
560651.985756973,8760392.51668882
560651.986205129,8760392.86311421
560651.888505517,8760392.97012924
560651.835884869,8760393.07932584
560651.743557532,8760393.16425224
560651.72420375,8760393.29740739
560651.789658421,8760393.36762089
560651.866397092,8760393.3825089
560651.765494723,8760393.42232306
560651.694667807,8760393.37419821
560651.656005898,8760393.46172171
560651.777238329,8760393.66872627
560651.755187008,8760393.85762243
560651.767481528,8760394.04818074
560651.766884937,8760394.28281244
560651.823718834,8760394.48670049
560651.79632952,8760394.5635952
560651.754947256,8760394.79625311
560651.764050381,8760394.87491384
560651.824672225,8760394.95606777
560651.86061372,8760395.0136787
560651.889024929,8760395.13797108
560651.798810074,8760395.35709146
560651.727409509,8760395.4542049
560651.659774089,8760395.51797762
560651.598039006,8760395.5932102
560651.589429726,8760395.68218806
560651.484808155,8760406.06923601
560651.242725306,8760406.26983253
560650.967904122,8760406.48001906
560650.689868851,8760406.66770148
560650.227754761,8760406.87999867
560649.861698001,8760407.10811886
560649.688834665,8760407.34558834
560649.493403721,8760407.69370885
560649.286172315,8760408.01890971
560649.061228796,8760408.35442778
560648.903391895,8760408.59262452
560648.744476075,8760408.85311769
560648.879654385,8760409.08314553
560648.965472472,8760409.26608747
560648.894061449,8760409.40789777
560648.874202662,8760409.41811107
560649.19882013,8760409.64613207
560649.045850129,8760409.73929826
560648.976068961,8760409.80296724
560648.874651208,8760409.76453644
560648.820492485,8760409.59430089
560648.759905344,8760409.379057
560648.785113555,8760409.43614845
560648.788350484,8760409.36925922
560648.804421486,8760409.48178006
560648.779179185,8760409.55877871
560648.72599715,8760409.76851703
560648.683548068,8760409.97877474
560648.757508731,8760410.36228048
560648.691390375,8760410.79487902
560648.870499535,8760411.3175649
560649.042697568,8760411.58290719
560649.126368842,8760411.76574527
560649.288867254,8760412.18705857
560649.303790804,8760412.59005601
560649.449139166,8760412.92114491
560649.299292531,8760413.39438881
560649.462881019,8760413.74870903
560649.909278535,8760414.12788967
560649.880191207,8760414.55110591
560649.623061244,8760414.84036897
560649.604729724,8760415.17471122
560649.294452174,8760415.53962253
560649.504174622,8760415.96322122
560649.481056121,8760416.12971713
560649.292088901,8760416.38875591
560648.912076475,8760416.6385495
560647.9535109,8760417.06148331
560647.774748876,8760417.28749321
560647.597684803,8760417.16718164
560647.62124038,8760417.39180777
560647.981223199,8760417.82267757
560648.106757994,8760417.98519283
560648.58218425,8760418.1646402
560648.461379722,8760418.39345472
560648.38247324,8760418.46785643
560648.530541233,8760418.6538108
560648.512817774,8760418.70882468
560648.5369354,8760418.83290922
560648.576079024,8760418.95772092
560648.668921121,8760418.95103948
560648.801457709,8760419.01332484
560648.956538992,8760419.0543526
560649.08263584,8760419.11632637
560649.174398938,8760419.13194137
560649.334324255,8760419.11733204
560649.465276565,8760419.078972
560649.54848765,8760418.96008142
560649.851177202,8760418.88533513
560649.971396692,8760418.84645573
560650.236515558,8760418.79223997
560650.387326594,8760418.74366675
560650.53546302,8760418.66144118
560650.698602548,8760418.66933618
560651.025421113,8760418.67397806
560651.269051373,8760418.70811708
560651.910842067,8760418.8732683
560652.054604848,8760419.10371202
560652.093725087,8760419.31791722
560652.112481675,8760419.41939378
560651.992239134,8760419.54766636
560652.315326914,8760419.45155921
560652.500918851,8760419.79577047
560652.56149315,8760420.05571123
560652.581259517,8760420.40307157
560652.551700921,8760420.56925577
560652.550036192,8760420.78148717
560652.521522045,8760421.05946505
560652.445841082,8760421.11167398
560652.182341147,8760421.13244466
560652.146354432,8760421.25362052
560652.015390724,8760421.33667698
560651.989057825,8760421.48066867
560651.927312323,8760421.60059792
560651.902058479,8760421.7222932
560651.825826545,8760421.83034706
560651.767834686,8760421.9616323
560651.771002722,8760422.16292326
560651.726946294,8760422.36192878
560651.70166945,8760422.57301746
560651.716672383,8760422.66313804
560651.717142814,8760422.92017002
560651.629615586,8760423.12824608
560651.545865018,8760423.25828472
560651.546370004,8760423.38122661
