id,vertex_index,vertex_part,vertex_part_index,distance,angle,X,Y
"1","55","0","55",63.43337437627216,209.64458131167461,560977.261,8760361.421
"1","56","0","56",64.68896347774096,212.96635678667047,560976.644,8760360.328
"1","57","0","57",66.01857677510611,216.30435646208974,560975.853,8760359.259
"1","58","0","58",67.16728244640797,202.92676095026678,560975.176,8760358.331
"1","59","0","59",68.27561331549809,192.36038389064936,560974.988,8760357.238
"1","60","0","60",69.23498118965183,184.53926080532699,560974.741,8760356.312
"1","61","0","61",69.70458559785321,194.23021108925218,560974.789,8760355.844
"1","62","0","62",70.43159240777725,204.98092840339967,560974.379,8760355.244
"1","63","0","63",71.94578040818590,193.41411389705530,560973.971,8760353.786
"1","64","0","64",72.52644499948958,193.28864961327372,560973.858,8760353.216
"1","65","0","65",73.35095114324582,191.75540700889869,560973.640,8760352.421
"1","66","0","66",74.05503425814310,165.12746277100115,560973.540,8760351.724
"1","67","0","67",74.86053227834047,149.91457099177316,560974.035,8760351.089
"1","68","0","68",75.61702421606752,164.01022533967122,560974.321,8760350.389
"1","69","0","69",76.25881533108185,172.20499560834662,560974.430,8760349.756
"1","70","0","70",76.94187628392905,172.81075205346929,560974.500,8760349.077
"1","71","0","71",77.88205486054032,177.29706552170092,560974.639,8760348.147
"1","72","0","72",78.70323860203746,182.97142791629429,560974.594,8760347.327
"1","73","0","73",79.82627162296397,188.03186079449918,560974.538,8760346.205
"1","74","0","74",81.00086465253011,190.27903981861687,560974.270,8760345.062
"1","75","0","75",81.74643632277063,180.73229397446639,560974.175,8760344.322
"1","76","0","76",82.60026251883963,174.11203416218848,560974.262,8760343.473
"1","77","0","77",83.71023657186849,188.63933638277089,560974.376,8760342.369
"1","78","0","78",84.58930444252275,197.57868485999307,560974.030,8760341.560
"1","79","0","79",85.97988825794933,186.61389122579550,560973.741,8760340.200
"1","80","0","80",87.70082996601899,176.52923822072125,560973.704,8760338.480
"1","81","0","81",89.83710242144163,179.82021090082287,560974.008,8760336.365
"1","82","0","82",91.63875661601297,197.10333838174563,560973.763,8760334.580
"1","83","0","83",93.55749234428497,204.40023609586547,560972.910,8760332.861
"1","84","0","84",96.07881086195981,202.73791194622910,560971.949,8760330.531
"1","85","0","85",98.37185483327524,201.87006000447090,560971.051,8760328.421
"1","86","0","86",99.70830420282793,191.45961383111324,560970.579,8760327.170
